Date,Temperature,Precipitation
1836-01-01,-19.6626,0.9720001
1836-01-02,-20.65704,0.756
1836-01-03,-21.22798,0.486
1836-01-04,-22.18233,0.4428
1836-01-05,-22.97968,0.5400001
1836-01-06,-25.5631,0.4103999
1836-01-07,-27.18561,0.486
1836-01-08,-27.04192,0.3564
1836-01-09,-23.40004,0.3564
1836-01-10,-19.56734,0.2916
1836-01-11,-14.57126,1.134
1836-01-12,-13.8866,1.4904
1836-01-13,-15.93085,1.1448
1836-01-14,-15.95248,1.4796
1836-01-15,-13.94836,1.3608
1836-01-16,-10.46634,1.9764
1836-01-17,-13.293,1.4148
1836-01-18,-15.37006,0.8099999
1836-01-19,-14.33118,0.4967999
1836-01-20,-12.69101,0.432
1836-01-21,-11.99112,0.5184001
1836-01-22,-11.21887,0.7559999
1836-01-23,-12.85406,0.8316001
1836-01-24,-14.60678,1.2636
1836-01-25,-15.53784,1.35
1836-01-26,-13.44089,0.9936001
1836-01-27,-9.925842,1.2096
1836-01-28,-8.614868,1.242
1836-01-29,-9.497772,1.9548
1836-01-30,-10.45184,1.62
1836-01-31,-10.53351,2.1708
1836-02-01,-13.71616,1.3716
1836-02-02,-15.73883,1.2312
1836-02-03,-18.67218,0.9828001
1836-02-04,-20.19907,0.7127999
1836-02-05,-18.87267,0.7992001
1836-02-06,-16.70792,0.7452
1836-02-07,-14.64459,1.1124
1836-02-08,-15.80478,0.8424
1836-02-09,-15.1803,1.1448
1836-02-10,-13.77301,1.0692
1836-02-11,-12.2059,1.1988
1836-02-12,-11.43872,1.2096
1836-02-13,-11.45996,1.0476
1836-02-14,-11.39871,0.7668
1836-02-15,-10.68405,1.2096
1836-02-16,-10.63818,0.9288
1836-02-17,-10.23367,1.3284
1836-02-18,-9.534424,1.242
1836-02-19,-8.200165,1.4148
1836-02-20,-7.212921,2.0304
1836-02-21,-7.446045,1.3824
1836-02-22,-7.196869,1.566
1836-02-23,-8.33786,1.1232
1836-02-24,-5.688568,1.7496
1836-02-25,-5.932312,1.9656
1836-02-26,-8.973663,2.6244
1836-02-27,-17.99353,1.2312
1836-02-28,-21.21724,0.4428
1836-02-29,-18.86192,0.6155999
1836-03-01,-14.0459,0.9504
1836-03-02,-11.62668,1.7928
1836-03-03,-12.69397,1.9116
1836-03-04,-7.671967,4.0392
1836-03-05,-13.02194,2.6136
1836-03-06,-16.88663,1.512
1836-03-07,-10.5455,2.5812
1836-03-08,-6.955048,3.5424
1836-03-09,-7.81723,4.4928
1836-03-10,-16.24762,1.7172
1836-03-11,-19.43373,1.3284
1836-03-12,-14.47205,1.9332
1836-03-13,-9.84021,2.6352
1836-03-14,-5.654083,2.8944
1836-03-15,-4.768494,4.2876
1836-03-16,-6.451691,4.773599
1836-03-17,-7.981018,2.3976
1836-03-18,-5.26413,3.2832
1836-03-19,-3.97879,2.862
1836-03-20,-5.572021,2.0196
1836-03-21,-8.620148,1.5552
1836-03-22,-5.765289,2.214
1836-03-23,-2.854431,2.538
1836-03-24,-1.961884,3.3912
1836-03-25,-1.573944,3.3372
1836-03-26,-6.56015,3.3048
1836-03-27,-9.909851,1.8792
1836-03-28,-10.94534,1.944
1836-03-29,-12.97971,1.1124
1836-03-30,-10.58432,1.458
1836-03-31,-8.903534,2.5704
1836-04-01,-11.82275,1.7712
1836-04-02,-13.5733,1.0152
1836-04-03,-13.53494,1.0908
1836-04-04,-12.76547,0.9828001
1836-04-05,-10.53101,1.0368
1836-04-06,-7.462402,1.1124
1836-04-07,-5.378448,2.1924
1836-04-08,-9.167877,2.2464
1836-04-09,-9.902954,1.5444
1836-04-10,-6.807617,3.2508
1836-04-11,-8.60379,2.9376
1836-04-12,-11.479,2.3436
1836-04-13,-12.83878,1.7172
1836-04-14,-11.97507,1.3176
1836-04-15,-10.82672,1.7172
1836-04-16,-11.2197,2.2572
1836-04-17,-13.43335,1.674
1836-04-18,-15.50912,1.1124
1836-04-19,-14.82538,0.7884001
1836-04-20,-11.03189,0.8208001
1836-04-21,-7.203827,0.7560001
1836-04-22,-3.248505,1.2636
1836-04-23,-3.489838,2.6892
1836-04-24,-6.710907,1.9332
1836-04-25,-5.270508,1.5012
1836-04-26,-1.907562,1.674
1836-04-27,0.9546814,2.808
1836-04-28,2.80954,4.1796
1836-04-29,3.913361,3.2508
1836-04-30,3.719727,4.374
1836-05-01,1.618134,3.5748
1836-05-02,1.399933,4.1688
1836-05-03,1.370026,2.9052
1836-05-04,3.476654,3.5208
1836-05-05,2.092712,2.9808
1836-05-06,4.371429,2.1708
1836-05-07,7.525696,1.2744
1836-05-08,9.804077,1.4256
1836-05-09,10.43472,1.7064
1836-05-10,11.96518,1.3068
1836-05-11,12.30383,2.1384
1836-05-12,10.14001,2.214
1836-05-13,8.428284,2.0844
1836-05-14,9.332794,1.9332
1836-05-15,9.615173,1.1016
1836-05-16,11.34439,0.9396002
1836-05-17,12.47067,1.5768
1836-05-18,12.88779,2.4084
1836-05-19,12.01877,3.51
1836-05-20,11.60419,2.5596
1836-05-21,11.73596,2.786401
1836-05-22,12.29007,2.1168
1836-05-23,13.19305,2.9052
1836-05-24,7.603821,3.5208
1836-05-25,7.985626,1.3608
1836-05-26,10.81979,1.6848
1836-05-27,10.53262,1.9224
1836-05-28,10.00177,1.7712
1836-05-29,11.58185,1.188
1836-05-30,13.17053,1.8036
