Year,January,February,March,April,May,June,July,August,September,October,November,December
1889,2.612621,2.549741,2.098598,1.955000,2.507436,1.937879,1.314448,1.084862,1.377752,1.679803,1.854463,1.390966
1890,1.449078,1.209055,1.097151,1.189037,2.611659,-0.05914074,-1.559477,-1.672610,-1.585307,-2.390139,-1.713194,-2.058516
1891,-1.668976,-1.883556,-2.145970,-2.171959,-2.139876,2.095036,1.474812,2.286253,1.732416,2.719013,2.713204,0.005573407
1894,-0.3001198,-1.402257,-2.662177,-2.418487,-1.700361,-2.025191,0.7241597,2.447002,2.209586,1.277946,1.220376,0.8628815
1895,1.388157,1.263320,1.687906,2.115636,1.858811,4.370607,-1.487874,-1.461889,-1.588251,0.3141682,0.1006464,0.9934331
1896,1.166195,1.062489,1.221216,1.851021,0.9594694,0.8065785,0.4137934,1.840463,-0.6732367,-1.688159,-2.014455,-2.002218
1897,0.05458748,0.3293292,0.4618139,1.353294,2.146685,5.168161,-0.6765058,-0.2346768,-0.2610667,-0.8264745,-1.014596,-0.9317567
1898,-1.453516,-1.269635,-0.8779882,-0.4284090,-0.3902073,-0.9691725,-2.302138,-2.510475,-3.493432,-3.077459,-2.897713,-4.312098
1899,-3.872459,0.4840903,0.4076477,0.2038410,0.7122965,1.656826,2.046629,2.020398,-0.7206383,-1.299347,-1.290937,0.2213460
1900,0.2584432,0.2399448,0.1893418,0.2282222,-0.5084512,-2.494875,4.113343,-0.5406755,-0.8592816,-1.557178,-0.9255992,-0.8902926
1901,-1.063269,-1.071102,-0.7987264,-0.4855250,-1.236348,-2.730879,-4.102509,-4.678842,-5.787250,-4.492064,-4.378123,-3.026382
1902,-2.562867,-3.083065,-2.805999,-2.818195,-2.679515,-1.661890,-1.019553,-1.491870,-1.708247,-2.095120,-2.258157,-1.725244
1903,-1.828882,-1.873442,-0.06557971,1.341755,1.810800,1.321581,4.018727,4.397811,4.572520,4.618601,4.250599,3.839679
1904,3.585242,3.576569,3.487506,3.869669,4.478715,4.438483,-0.6317374,0.5546097,0.6446483,-0.2461486,-0.9254317,-0.9569886
1905,-1.603714,-1.475692,-1.436110,-1.604841,0.1454525,0.03389955,0.8908231,2.556684,3.618713,3.654414,4.257618,3.934045
1906,4.026024,3.749825,3.122255,2.618004,3.963051,4.812266,-0.5057925,0.4413386,0.1895019,0.2004833,0.3541159,0.4934314
1907,-0.2133172,-0.2024508,-0.3358382,-0.6758801,-0.9445729,0.8884389,-0.1231859,-0.4263598,-1.111624,-1.086106,0.2330680,1.002268
1908,1.131544,0.8558985,0.9758643,0.8031076,1.250816,2.015637,2.296404,2.141457,2.908978,0.05044778,-0.08250430,-0.5754617
1909,-0.5730000,-0.6515647,0.3959419,0.6594892,0.7008187,-0.5794510,-1.619814,-3.264039,-2.991617,-2.992155,1.227011,1.505011
1910,2.008912,2.173109,2.558729,3.037275,2.998768,-0.8236941,-1.387857,-1.768322,-1.430669,-1.493524,0.3813944,1.010117
1911,-0.4142372,-0.7172089,-0.7041766,-0.9428327,-0.8913332,-0.6111131,-2.638393,-3.667309,-3.130338,-3.704418,0.1907973,0.6987903
1912,-0.09543067,-0.4399167,-0.2907650,-0.8047174,-1.036965,1.150448,-1.815189,1.232544,-0.6576987,1.199329,-0.6631814,-0.7006793
1913,-1.345085,0.1958348,0.9848679,1.180230,0.9062704,0.8945260,2.062187,2.921576,2.815498,-0.9297853,0.2095042,0.8790196
1914,-0.3245118,-0.6757407,-0.4255909,-0.2848093,-1.121245,-2.442214,0.7334778,3.164512,0.002096832,0.003163099,0.01374903,-0.5088531
1915,0.3887070,0.8547451,-0.1846489,-0.5125303,-0.9064330,-1.722628,-3.677416,-3.097918,-3.329590,0.9395275,1.138346,0.4966697
1916,0.6208386,0.8887429,0.8519243,1.103878,1.376995,-0.3189033,-0.1476197,-0.8412405,-1.397699,-1.624498,0.02104655,0.07880902
1917,0.09509449,0.1275379,0.1176599,0.2913139,-1.237608,-1.104304,-2.135608,-1.574535,-1.910378,-1.417471,-1.910437,-1.217333
1918,-1.337519,-1.350872,-1.187701,-1.064133,-1.847068,1.341108,1.364428,-1.352285,-2.064717,0.4263538,-0.4935297,0.5773968
1919,0.7292825,0.7011362,0.6803896,1.144248,1.153957,1.835556,1.359894,1.496377,2.378233,-0.06116644,-0.1597859,0.2041565
1920,-0.1959763,-0.2071339,-0.04729483,-0.2871818,0.6805513,-1.018308,-2.047980,-1.577463,-2.704352,-2.258108,-1.717317,-1.611691
1921,-1.341013,-0.9501501,-1.353038,-1.701777,-1.415965,-1.701663,-2.653937,-2.669214,-3.614935,-3.574354,-3.511716,0.4498592
1922,1.281100,1.401678,1.266665,1.341882,1.846526,-0.3923532,-0.7341939,-1.644222,-1.843162,-1.815897,0.7731180,0.5455395
1923,0.3964602,0.3688257,0.3531037,0.3972661,-0.1589013,-0.5197596,-1.166367,2.297320,1.751348,1.941929,2.311085,0.05696182
1924,-0.5470186,-0.5319256,0.2111808,0.4835601,-0.2953177,-0.06364256,-0.4613627,-0.07007983,-0.5150883,-0.4706275,-0.7656741,-1.491093
1925,-1.502393,-0.02819708,0.4405332,0.9790976,1.387097,1.634885,2.643193,-0.6752900,-0.2944145,-1.009280,-0.9002296,-1.246570
1926,-1.507047,-1.701393,-2.143929,-1.821223,-2.279942,-3.786850,-6.355652,-4.082298,-3.074377,-1.812433,-2.377316,-3.107629
1927,-3.396705,-3.424450,-3.607529,0.6997812,-0.6360873,-0.6967747,0.2180534,0.7113811,1.355805,-0.3907862,-0.1905714,-0.1568315
1928,-0.1729634,-0.2063718,-0.3679959,-1.119240,-0.06759620,1.062138,1.119880,2.319282,2.675264,1.526360,2.466800,2.116283
1929,2.013757,1.485414,1.275983,1.211298,2.440207,2.496196,1.677427,2.015284,2.316709,3.741230,3.368050,2.229193
1930,1.539713,1.562754,1.853486,2.234899,3.928140,3.115784,4.324178,4.866479,0.05543482,-0.9717112,0.2229123,0.3328165
1931,0.5553873,0.2268769,0.6686939,0.7968693,-0.2368154,-0.8836194,-1.747586,-3.875563,-3.298162,-2.887300,-3.179232,-3.646964
1932,-1.695292,-2.119318,-2.436734,-3.121317,0.4492381,2.740946,-0.02192137,0.03946811,-0.2058139,-0.5390497,-0.5963688,-1.203958
1933,-1.397910,-1.349909,0.3287349,0.6960574,-0.4509485,-1.099390,-2.064400,0.7865109,1.872399,-0.6504365,-0.4184511,-1.289973
1934,-0.9336677,-1.228905,0.2856844,0.8985927,-2.087358,1.054152,2.622030,1.899374,2.406900,2.258147,2.804084,-0.5804776
