Year,January,February,March,April,May,June,July,August,September,October,November,December
1901,-0.7095221,-1.124671,0.4250836,0.4065246,-0.7697958,-1.087180,-0.7877508,-0.06378087,-0.3967958,0.5595414,0.1586646,0.8198099
1902,0.6523225,-0.6480813,1.354617,-0.04550651,0.4415657,0.9979213,-1.334440,0.02686110,-0.6599025,1.505757,-0.3786146,-0.2552148
1903,0.3952984,-1.103213,0.2731529,1.292834,0.2946029,1.024344,1.753426,0.9751831,1.569538,-0.5326400,-1.106995,0.4057175
1904,0.7444849,1.803898,0.4655861,0.4065247,-0.5716362,-0.2215987,-0.8954204,1.210027,0.3470431,-0.1643586,-1.159716,0.4155723
1905,0.1758203,-0.7351384,0.5321552,0.1664075,1.270005,0.4322710,-0.6416062,1.277999,0.5881902,1.157112,0.2465789,0.6157215
1906,1.666556,-0.7786528,-1.126608,-1.358576,0.4051503,0.1634247,1.036029,-1.475335,-0.5187455,0.08446627,-0.002502662,0.4933609
1907,0.7896605,0.1356064,-0.9640447,-1.024740,0.3894747,1.474954,-0.4609795,-0.5956403,-0.7894076,1.387027,1.166254,0.9118818
1908,-0.1571806,0.5736863,0.6995604,-0.5959876,-1.075079,0.9674707,0.5262564,0.7006899,0.9736857,-0.9664009,-0.2032984,0.9118818
1909,0.08933754,-0.6263224,1.097456,-0.006191889,0.4571014,-1.513766,-0.2427214,-0.4600692,1.039289,-0.7395369,0.1675129,-0.7856647
1910,0.4772977,0.7475452,1.119089,0.09592076,0.3158013,-0.8764921,-0.9119018,-0.6082493,0.3082073,-0.07261790,0.2465789,1.453229
1911,-1.073394,0.1556693,0.7120903,-1.093768,0.3685113,-0.6849898,-1.443394,-1.219679,-0.5945511,-1.581648,-0.2862154,0.2647663
1912,-1.452384,-0.4959759,1.182855,-0.4358391,0.2946026,1.713302,-1.179960,1.918008,-0.7248717,-0.6489055,-0.3046784,-0.7041718
1913,-1.022346,0.3705241,1.373994,0.5054089,-0.9320434,-0.8291132,1.579071,1.130031,1.023019,-1.201902,1.283364,0.3660102
1914,1.296800,-0.7133747,0.1595392,0.2132502,-1.253628,-0.3986883,0.3715617,1.271268,-0.5187453,0.4523351,-0.5173292,-0.3803964
1915,1.181802,1.621301,-0.5114010,-0.9262382,-0.9113281,-1.639899,-1.139858,-0.09403944,-0.8239614,0.7515820,-0.1390626,-0.4262783
1916,-0.1039340,0.8305540,-0.7992468,-0.6185900,0.3999295,-0.6805795,0.03025712,-0.6501411,-1.483321,-1.398814,0.6872417,-0.4492801
1917,-0.8323793,-1.124671,-0.3747672,-0.5048636,-2.079465,-0.2307003,-1.111671,0.5364428,-1.211911,0.5746468,-1.682148,0.1608136
1918,-1.986047,-1.060215,-0.7086470,-0.6710307,-1.359661,0.7871913,0.3018781,-2.056045,-1.127751,0.9542361,-1.349837,0.7330180
1919,0.07192522,1.575597,0.4114912,0.6473830,-0.3425538,1.386188,-0.5114425,-0.01626951,1.302770,0.1172378,-1.246768,0.6340972
1920,-0.6918680,-1.379712,0.3151034,-1.208528,0.3369355,-1.595815,-1.287241,0.1855735,-1.540266,0.7081136,-1.071650,-1.489146
1921,-1.563192,-0.09014023,-1.272058,-0.7008014,0.2359911,-0.8291132,-1.306943,0.09998576,-1.349385,-0.7477389,-1.754570,1.362600
1922,1.534634,0.2546966,-1.329561,-0.8977044,0.4467491,-0.7639568,-0.6625502,-1.761957,-0.3815122,-1.014174,1.172906,-1.455099
1923,-0.2819628,-1.379712,-0.6177129,-0.3507996,-0.03500154,-0.7114023,-1.067191,2.323081,-1.470087,0.7081138,1.478405,-1.792515
1924,-1.174417,-1.975426,-0.3747672,-0.3585579,-0.7750880,0.5010463,-0.8251214,1.216890,-0.4324291,-0.3905351,-1.484839,-1.958925
1925,-1.956857,-0.2378593,1.593912,1.150963,0.9787268,0.5181087,1.469307,-1.139911,1.039289,-1.240303,-0.8927284,-1.352545
1926,-0.9192432,-0.8438659,-1.869170,0.3064601,0.1553915,-1.551260,-0.8043721,0.5526980,0.05554137,-0.2564327,-0.4618595,-0.8555344
1927,-0.4785692,-0.7133749,0.2308373,0.9552130,-0.8749146,-0.4754196,0.1875438,-0.2496470,0.4619796,-0.8131090,0.5591540,0.5972257
1928,0.2950569,0.1154613,-0.2538109,0.009531272,0.1283716,0.5223658,-0.8209741,1.199704,0.1555606,-1.624590,1.244941,-0.4953924
1929,0.5737141,-0.6698443,-0.04460628,-0.1476709,1.771699,-0.6849898,-1.199938,0.6849053,-0.03020179,1.404339,-0.7381647,-2.025151
1930,-1.500134,0.9734748,0.1163236,0.1507645,1.785385,-0.4393588,1.421684,1.399926,0.1056810,-1.443275,0.5672920,-0.07646558
1931,1.207806,-0.2165985,0.3841716,0.09592079,-0.5878563,-0.5068937,-0.7711108,-1.972985,-0.1367840,0.07625484,-0.7106983,-0.9602467
1932,1.181802,-1.210206,-0.8743939,-0.9119925,0.9374835,1.582816,-0.1343985,-0.1372810,-0.5693261,-0.1810805,0.06954680,-1.477805
1933,-0.8845950,0.4083664,1.373994,-0.5048635,0.2306409,-0.4167764,-0.4189270,0.1855736,1.414950,-1.353985,0.1142464,-1.409596
1934,0.2442387,-1.995491,-0.2538110,0.8359231,-1.120294,0.1813224,1.149593,-0.5830123,0.8382924,-0.3570175,0.2378461,-0.9137301
1935,-0.8323793,-0.4526575,-0.4202736,0.9482873,1.590428,-0.7421042,-1.147894,0.1599564,0.04045337,2.189673,-0.8746510,-0.9486217
1936,0.4610147,1.064235,0.3011614,0.8430303,1.224068,1.005492,1.690607,0.4462146,0.8339716,-0.2145524,2.290763,0.4933606
1937,0.8635938,1.004123,1.203737,0.8994852,-0.8330544,1.318595,0.05468865,0.2535963,1.491711,0.7945276,0.7263263,1.000474
1938,-0.3534564,0.9734748,-0.9640447,-0.7230328,1.181673,1.901716,1.173490,-0.5661470,0.7992122,2.054515,0.1498044,0.6974666
