Year,January,February,March,April,May,June,July,August,September,October,November,December
1901,-0.04880635,-0.7242359,-0.09432501,0.1360334,-0.3513621,-0.9286714,-0.6652892,-0.02613151,-0.1299032,0.5104327,0.07491877,0.2357314
1902,0.8498089,-0.1935422,0.2394199,0.1046491,0.5867885,0.4844917,-0.4430820,0.02810247,-0.4430754,0.8304788,0.06611682,-0.06820206
1903,0.4074728,-0.7894708,0.2950316,0.8903437,0.4847128,0.8803662,1.245308,0.7895948,1.051355,-0.05565329,-0.7007726,0.1723711
1904,0.5556732,0.8972824,0.5734645,0.4203391,-0.5256627,-0.3289370,-0.5311163,0.6102152,0.3693608,-0.3250696,-0.8711228,0.3185827
1905,0.6802702,-0.2601130,0.9409505,0.9170359,0.5190238,0.2075803,-0.3458816,0.9773515,0.2642995,0.3949476,-0.1492624,0.2980480
1906,1.070545,-0.2823243,-0.9635811,-0.9753025,0.4994517,-0.09596955,0.8319616,-1.107316,-0.1353226,-0.01118507,0.004093715,0.5171686
1907,0.6976737,0.1570333,-0.7436996,-0.5088711,0.1328197,0.7807713,0.2661353,-0.2221133,-0.3268586,1.175099,0.4134047,0.6117446
1908,0.1143596,0.4516317,0.4038388,-0.08545155,-1.007517,0.3364114,0.5620379,0.2255509,0.4330420,-0.1719756,-0.1950170,0.4784507
1909,0.1943002,-0.03894660,1.090272,-0.1812792,0.2835222,-0.6759372,-0.2674199,-0.3093035,0.6266823,0.2079471,-0.03165707,-0.3546315
1910,0.3503689,0.4924213,0.8851745,0.2140096,0.05354868,-0.3790312,-0.5403812,-0.3093035,0.1979739,0.2338077,0.1620883,0.5837054
1911,-0.06947293,0.2639164,0.7458741,-0.7294992,0.5092493,-0.2924442,-0.7068121,-0.4004061,-0.2115313,-0.4874381,-0.5212096,0.1080047
1912,-0.4484639,-0.4821595,1.131141,-0.1413122,0.08535373,0.9349989,-0.3690040,1.303051,-0.07590552,0.3782148,-0.02269901,-0.2386706
1913,-0.02819509,0.2850865,0.4963032,0.8158425,-0.1124990,-0.2833146,0.8393391,0.5574623,0.6082845,-0.2889899,0.3890078,0.1403109
1914,0.3694930,-0.5926602,0.5351276,0.009934483,-0.3622601,-0.1188068,0.3642506,0.4315572,-0.2882992,0.5428777,-0.4459513,-0.04583607
1915,0.7149774,0.6125726,-0.01993281,-0.2773157,-0.5637075,-0.9712565,-0.4894157,0.3435761,-0.7823645,1.168476,0.06611682,-0.3663137
1916,0.3118564,0.9869999,-0.6808499,-0.06155445,0.2423182,-0.7597383,0.07319883,-1.123602,-1.493277,-1.255865,0.2729547,-0.4014442
1917,-1.000505,-1.066615,-0.3995777,-0.5960298,-2.208457,-0.1827902,-1.200004,0.4947069,-1.123740,0.6934499,-2.191198,0.5648537
1918,-2.128993,-1.170427,-0.2303484,-0.4212557,-1.090812,1.030492,0.2747470,-2.086335,-1.242938,0.8527724,-1.209318,0.7739872
1919,-0.04880635,1.749991,0.7098307,0.7397481,0.2112240,1.297651,-0.5727997,-0.2318381,1.685026,0.01540849,-1.274392,1.272420
1920,-0.5763804,-1.587472,-0.005166166,-1.446402,1.205072,-1.520975,-1.300945,0.1910261,-1.655018,0.8527724,-1.012637,-0.4249313
1921,-0.8105888,0.09215975,-1.382976,-0.6590478,0.3700523,-0.8339131,-1.683490,-0.5837060,-1.545745,-0.3070272,-0.6723766,1.940241
1922,2.046016,0.2850865,-1.151050,-0.4372128,0.8145259,-1.005096,-1.287850,-1.480853,-0.7934681,-1.027120,1.451908,-1.826372
1923,-0.2998517,-1.066615,-0.4461678,0.08104564,-0.5528429,-0.9882017,-0.4106601,1.927305,-0.1679080,0.4282412,1.823250,-1.861345
1924,-0.8105887,-1.902855,0.7931701,0.009934483,-0.8117660,0.5486364,-0.7896036,0.4607488,-0.8101158,-0.5953330,-1.613575,-2.186666
1925,-1.767953,-0.1492432,1.351700,0.9697784,1.353132,0.8527410,1.594644,-1.227582,0.3693609,-0.8002135,-0.6345315,-0.3897202
1926,-0.007641419,-0.01698705,-1.428977,-0.2052780,0.7829142,-0.6047043,-1.155730,0.3288611,0.3594699,-0.06456722,-0.6723766,-0.8776520
1927,-0.8529735,-0.6366638,0.1972025,0.8158425,-0.7850180,-0.1188068,-0.1161596,-0.06550851,0.4184411,-0.8969219,-0.2780071,0.6394975
1928,0.01285243,0.3481465,-0.5241284,0.07316587,0.2988959,0.8646054,-0.6837527,1.601092,-0.01161350,-1.619453,1.304220,-0.6144017
1929,0.6096631,-1.392759,-0.1695827,-0.2452947,1.492632,-0.6980768,-1.370413,0.5333759,0.4135613,1.660069,-0.7765111,-2.256323
1930,-1.591894,0.8790246,0.1830357,0.4875097,1.633997,-0.5374373,1.492728,2.021848,-0.1136662,-1.595909,0.6999506,-0.4014441
1931,0.1943001,-0.3489827,0.4832542,0.04159160,-0.1773847,-1.134250,-0.6098245,-1.939138,-0.4541766,-0.8969221,-0.7007726,-1.129349
1932,1.327402,-2.044997,-1.459568,-1.508394,0.7738252,2.045395,-0.2260069,-0.2754894,-0.5264277,-0.6311755,0.5171373,-1.603938
1933,-1.104930,0.5927852,1.239609,-0.7916778,-0.1071044,-0.4968792,-0.4662474,0.1564754,0.9020765,-1.500750,-0.02269912,-1.438811
1934,-0.06947293,-1.775282,-0.4306206,0.8158426,-1.434230,0.3187678,1.562120,-0.7431718,1.109337,-0.4964460,0.02188639,-0.7218668
1935,-1.228993,-0.6586144,-0.8222884,0.8363200,1.704635,-0.8857786,-1.422101,0.2748052,-0.5208651,2.216092,-0.5400663,-1.224914
1936,0.6802702,0.5927852,0.08259510,0.9893362,1.389693,1.372705,1.666036,0.9683448,0.7786674,-0.3972602,2.108417,-0.02356321
1937,0.5008090,1.004630,1.405442,1.727664,-0.3077860,1.328591,-0.002925710,-0.03105756,1.408843,0.3949474,0.6999506,1.151167
1938,-0.4484639,1.208133,-1.275128,-0.5406262,1.682403,1.821873,1.707215,-0.4620997,1.003928,1.588627,0.1361032,0.8258077
1939,0.5737674,1.004630,-0.3377215,-1.094992,1.006080,-0.2056457,0.9120841,-0.4526445,0.08366308,-0.7470796,0.2560873,-0.05700760
1940,1.393773,0.3272035,-0.5397596,0.2604267,-0.2751293,-0.7728853,-0.3505048,-0.2609601,0.8432121,0.2852025,1.217215,1.223395
1941,0.8167006,0.8606626,0.5092987,1.372706,0.3345975,0.4586213,1.660830,-0.4051714,-1.178070,-0.1540246,0.004093724,-0.3313114
1942,-0.7681220,1.864925,0.6362693,-0.4372128,1.018693,0.6412638,0.7797968,-0.5278904,-0.4264325,1.739785,0.8505661,-0.5905904
1943,-0.5337191,1.108227,-0.5867176,-0.8840679,-0.3513621,1.026724,0.2747470,-1.388771,-0.4264327,0.2251993,0.5013910,-0.2732851
1944,-1.452482,0.4311042,2.027809,-1.334234,0.7002040,-0.8295723,1.852280,-0.7565958,0.7568117,0.2424040,1.472868,-0.1699365
1945,-0.04880635,-0.9823976,0.03889811,-1.515233,-1.468562,-0.5329379,0.1352701,-1.700842,-0.6822859,-0.8354909,-1.348424,0.2252430
1946,1.495810,1.125132,1.369780,1.072696,-0.5039018,1.060489,0.1131702,0.05277856,2.228313,-0.4694156,-0.6156188,0.009667376
1947,0.09419293,0.9869999,0.4172071,0.5023156,-0.7582090,1.209962,0.5053731,1.454926,0.02561232,-1.548528,1.144895,-0.8057018
1948,1.827635,0.5729015,-0.8065718,-0.3013299,1.072693,1.429377,-0.1116044,0.6673639,0.5241619,0.8453587,-1.694831,-0.9016435
1949,0.7149774,-1.149798,-1.459568,0.08104544,2.056633,0.5740737,0.3430956,0.6293132,0.6991873,-1.849642,0.4295746,0.2357314
1950,0.8987259,-0.8972070,0.4038391,2.287665,1.330926,-0.1370833,-1.712415,0.3141339,0.5897783,-0.6669401,0.8505660,1.068612
1951,-0.04880635,0.3481465,1.996369,0.1984735,-1.137268,-0.8986784,-1.182322,1.218530,-0.9428743,0.1733063,-0.1583917,1.128980
1952,1.244983,0.04864195,-0.04958005,1.372706,-1.007517,-0.5778501,1.325764,0.3582775,-0.5709459,-0.1271320,1.483262,1.475430
1953,0.6627672,0.2213628,0.5479611,-1.284369,-0.2805701,-1.359284,-0.02545794,1.550374,-2.179770,0.6070002,0.5946929,1.258539
1954,0.3503689,-0.6366637,1.474836,0.08104555,0.9464680,1.071668,0.8650120,0.9139698,1.425409,-0.4153059,1.987461,-1.497912
1955,-1.104930,1.642749,1.911785,-0.2853208,0.1485737,-1.187451,0.3558004,-1.527634,1.490362,-1.728043,-1.703830,-0.2617296
1956,0.6802702,-0.1492432,-0.5241284,0.5683766,-0.8544279,1.379431,0.3853052,0.2255507,0.8003525,-0.08241410,-1.980155,-0.4838623
1957,-0.5763804,2.123301,1.324264,1.135289,0.7372160,-0.0002276701,0.1484926,1.830258,-1.205143,1.643781,2.010803,-0.5668100
1958,-0.8317922,1.926336,-0.01993281,1.122876,-0.5256628,1.359203,-0.1709645,-1.049707,-0.4042606,-0.2259213,-1.246536,-0.3780101
1959,0.6274635,-0.8111212,-1.135484,1.286057,1.205072,-0.1188068,1.119253,0.2993944,-1.360877,0.1035105,0.2729547,0.8597367
1960,1.159407,0.5328481,0.3904185,-0.09342357,-1.111495,0.3803257,0.8577004,-0.2172474,1.031707,-0.9926041,0.6702735,0.8086582
1961,1.708261,-0.1271266,-1.490100,0.6692165,0.1956179,1.056754,-0.4569806,-0.06550851,1.392142,-0.3882366,0.6251628,0.7210432
1962,-1.512500,-0.3934137,-0.3531548,-0.8993564,-0.6936388,0.02251009,-1.133508,-1.274483,0.1670479,0.6386700,-0.3897254,0.6210274
1963,-0.9584985,0.6713452,-0.6808499,-0.2372901,-1.698834,0.3055070,0.2315429,-0.5325625,0.4764972,0.7778528,1.857351,0.4686922
1964,-1.883432,-1.066615,0.7339140,-0.1413124,-1.404650,0.1761940,-1.383368,0.01823571,-1.019878,-0.5773857,-0.6061658,2.192961
1965,0.6802703,-1.549091,-1.581329,-0.6511899,-1.244503,-1.502041,-1.129058,0.5910714,1.120762,0.5990420,0.7727559,1.822876
1966,2.432988,2.384217,1.765691,1.606222,1.093181,0.6161789,-0.9175144,-1.407414,-1.809043,-0.5414450,1.436038,-0.5430635
1967,-1.690137,0.4924213,-1.398325,-1.908516,-1.064878,2.321934,1.328802,0.4510266,-0.8599956,0.006551909,-0.09472647,-1.343957
1968,-1.591894,-0.4378132,1.661062,-0.07748253,-0.6936390,-1.256147,0.6921107,-1.247208,0.4908656,-1.773949,0.9327657,0.6486849
1969,-2.258955,-0.1050359,-0.6651461,1.015225,1.581179,-1.300068,-2.368199,1.235572,0.8770111,1.114886,0.8154919,-1.592179
1970,-0.1735647,1.224432,-0.1544665,0.8089903,1.921005,1.112328,-0.2168185,1.079751,-0.6488883,0.7243814,-1.246536,-0.4720531
1971,-0.7893648,-0.8542703,-0.3686090,-1.197773,0.7233832,-0.2604815,1.024616,0.04290699,-0.8489200,-2.185657,-1.586383,-0.7099050
1972,-0.6403666,0.5126808,-0.07937426,-1.453328,0.1538170,0.7442896,2.315300,1.048817,-0.2334127,-0.2349239,0.5013909,0.3894985
1973,-1.125706,0.5126808,0.4437851,-0.09342332,0.7509917,-0.5059038,-0.4894159,-1.812865,-1.727193,-1.313897,-1.022046,-1.650916
1974,-0.2155145,0.4516317,0.9187978,-1.305799,-0.8331182,-0.4426005,-2.436456,-1.444359,1.832566,1.491722,-0.4741383,-1.343957
1975,0.5008090,0.8790246,-0.9479026,1.781361,0.5239022,-0.5284367,-1.757634,-1.147886,1.371923,-0.5144543,-0.3244235,-1.391429
1976,-0.6190413,-0.7024024,-0.2762158,-1.722526,-0.8064213,-1.183379,-0.4384494,2.295007,-0.04904699,0.4612993,-1.658776,-0.8057018
1977,-0.7042974,1.827257,-0.6180682,-0.5881291,0.7280003,-0.3608278,-1.160168,1.044381,-1.036330,1.060213,-0.9183634,0.1830020
1978,0.9148332,-1.252255,1.027492,1.423370,-0.1719679,-0.8078254,0.3811024,-0.8537968,-1.824316,0.2766676,-1.366874,0.8681427
1979,2.931444,0.4720713,0.1402583,-0.2212825,0.7418140,-0.05945728,-0.3412594,0.3092217,-0.2443698,1.194870,1.425385,1.601092
1980,0.8167006,-1.644525,-1.626740,0.5317917,-0.8437786,1.392837,0.9899563,-0.2075095,-0.2279382,0.9690267,0.2645299,0.2670224
1981,-1.249527,0.07042605,-0.8694243,-0.6354570,-1.305026,-2.319375,-0.2490015,0.3876374,0.3445876,1.851756,-1.227938,-1.153264
1982,0.9625658,-1.108339,-0.2915566,-1.397637,0.4002401,-0.9797355,1.295149,-0.1097181,-0.8322970,0.1993039,-0.4178118,0.2877358
1983,0.4074730,-0.5485349,-0.2762159,1.494847,0.1695234,-0.2284983,0.09543500,0.2797252,1.632206,-1.095683,-0.3058324,-0.01246221
1984,0.7999966,-0.4378132,1.277675,0.8769175,0.7464060,1.468702,1.553911,1.008747,-0.4819481,1.135108,-0.07664344,-0.06820206
1985,-0.8317922,-0.4156188,0.09707636,1.814917,0.7692713,1.075385,0.09543500,1.385865,0.3146582,0.8155293,0.06611682,-1.296401
1986,-0.2155145,-1.756801,-1.244187,-0.2052781,0.06946640,-0.3289373,-1.481953,1.269448,-0.4486252,-0.4062834,-0.3616967,-0.5786961
1987,1.115394,0.8421959,0.5987501,0.2681337,1.153718,0.7645977,0.1175963,-1.262822,1.090169,1.953540,0.5328055,1.244557
1988,-0.3846503,-0.5264323,-0.7122691,-1.341318,0.4052526,0.04067860,2.097493,0.3778573,-1.339531,-0.8178675,-1.988991,-0.2732851
1989,-0.007641419,-0.01698705,-2.089042,0.9303017,-1.054479,-0.1690768,0.3642504,-1.573679,-0.6822859,-1.121227,-1.040852,1.792184
1990,0.07395678,1.501405,-0.8380033,-1.630032,-1.512419,1.159720,-0.5959440,0.8865693,0.6220930,0.05075421,-0.8238332,0.5267692
1991,0.3311562,0.04864195,-0.2151137,-0.5326933,-0.3949580,0.2655860,0.5580191,-0.4573738,0.009684505,0.6465458,-0.1858449,-0.2501913
1992,-0.7255867,-0.01698724,-0.7594173,2.204516,-1.507562,-1.280156,0.2531905,1.184243,2.162519,-1.811922,0.3808379,0.8513005
1993,-1.270019,-0.5043065,-0.8380033,-1.205042,0.5578883,1.141577,0.4020757,-1.282233,0.5897783,-1.983412,-0.7859772,-1.415131
1994,0.6627672,-1.848559,-0.3069215,0.3218372,0.2164178,-1.425458,-0.3551285,2.032204,1.425409,-0.9666175,1.698457,-0.5786961
1995,1.040174,-2.234624,0.7458740,1.553802,0.2578044,1.669351,0.1792319,-0.6160055,0.1618750,-0.5773857,-0.6156189,-1.260679
1996,-0.9795174,-0.1492432,-0.6808499,-0.8071513,-1.274834,1.199265,1.003875,-0.6251981,2.030429,-0.7648188,0.9124755,2.000456
1997,0.9308424,-0.08297370,-1.550980,-2.561481,-0.6504323,1.082808,0.2618243,1.426636,-2.243780,-1.720356,-1.568224,0.1295693
1998,-1.000505,0.1570331,-1.306014,1.297772,-0.5093433,-0.5239335,-1.716537,-2.015223,-0.6767205,0.8675479,0.3808379,0.7388169
1999,1.604854,-1.451913,0.08259510,0.2062456,-2.379664,-1.240073,-1.503210,0.3337675,-0.01161378,0.6700737,-0.05861023,1.053241
2000,-0.4697640,0.2850865,0.8510743,-0.1972772,1.471703,0.07242499,-0.3227777,-0.6800053,-0.7545888,0.3276820,0.2560873,2.023030
2001,0.5008091,1.515922,1.396588,0.2835221,-0.8810028,0.3364111,0.7985325,-1.570163,0.8728100,-0.4423673,-0.3244234,-0.09065872
2002,1.458129,0.3690098,1.801605,-0.6039255,-2.143142,1.130640,1.298229,0.1317866,-0.2279381,1.067106,1.304220,0.03169848
2003,0.03328486,-0.7460262,-0.9635809,0.5756580,-0.7850178,1.752587,0.9864652,-0.3237564,0.2082392,-0.07348780,0.1012338,-0.2848577
2004,-0.1526527,1.158636,1.027492,1.462104,-0.5908479,-0.5013924,-0.8125302,-1.399970,0.5851350,-1.009881,-0.8522118,0.9505374
2005,0.1544786,-1.510431,0.4701510,0.1829066,-0.9497550,0.3408155,-1.111231,0.6957709,0.4037829,-0.8794115,1.246628,-1.355833
2006,-0.4697639,0.5729015,0.2394198,1.737517,0.05885789,-1.494444,1.573017,0.6768455,-0.9428743,1.316673,0.04846847,1.173112
2007,-0.1109644,0.3481463,-0.8222885,-2.224862,1.909539,0.06789387,-0.8765331,-0.4526447,-0.7490308,0.1559198,-0.3244236,-0.3897202
2008,-1.249527,-0.4378132,0.9519486,-0.4132736,-1.589606,-1.009312,-0.4060298,-0.5512137,1.051355,-0.4874383,1.393071,1.911678
2009,1.244983,1.710356,-1.444280,-0.6354566,-0.2207761,1.352429,-0.2766359,0.4510265,0.2794687,2.318228,0.8782746,0.8681423
2010,-0.1317851,-0.6146783,2.182403,0.4052954,-0.1340971,-0.5912864,0.7343549,-1.199907,-1.025364,-0.4153059,1.584180,1.279323
2011,-1.748562,-0.5264323,-0.4150902,-1.234025,-0.9865584,0.5187985,0.8466975,-0.6890808,-1.716915,-1.603768,-1.495347,-0.4131813
2012,0.01285243,-1.332966,-1.026220,0.4652169,-0.3840582,-2.487811,-0.2122262,0.6815819,-1.091028,0.4199396,0.8988530,-0.6382412
2013,0.6627672,0.9692655,1.582404,-0.7294993,1.278310,-0.4697668,0.1660777,1.734314,-0.1244873,0.7397445,-0.1858448,1.702041
2014,0.03328486,-0.2823243,-0.9949166,-1.418595,1.991292,0.07242502,-0.03900653,-1.179995,-0.6321862,1.895964,-0.9938080,-0.9975974
2015,-0.4484639,0.1999839,0.6486663,-0.3413408,-0.3568111,-1.471571,-0.8216908,-0.9359370,1.066958,0.6386700,1.805949,-0.6382413
2016,-1.611631,1.852439,0.3904185,1.047287,-0.4058581,-0.01388275,-1.248437,0.3680707,-1.199734,1.246867,0.9595527,0.1295692
2017,0.4823295,-0.7677718,-2.706340,-0.3093340,-0.5528430,-1.437032,1.602697,0.6531176,1.874922,0.2079474,-0.3616967,0.4194300
2018,-0.9163706,0.3481465,1.016853,-1.175905,1.567779,-2.091886,0.5053733,-0.1440235,1.445114,-0.6401241,0.4776259,-0.9256355
