Year,January,February,March,April,May,June,July,August,September,October,November,December
1901,-0.3691700,-0.8172119,-0.3731697,0.5021434,-0.5505818,-0.3916262,-0.4861230,-0.1801996,-0.4058969,0.7012064,0.004302629,0.6201007
1902,0.5286057,-0.5861911,1.117323,0.2963457,0.5398872,0.7167103,-0.7728486,-0.2954788,-0.6012043,1.445400,-0.2402733,-0.2270004
1903,-0.09876291,-1.538351,0.1712553,0.8503568,-0.09583434,1.108006,1.219191,0.5683878,1.183860,0.03490056,-0.6298687,0.3130385
1904,0.8436711,0.5452604,0.7662757,0.3129629,-0.5166494,-0.2978947,-0.2344590,0.8883191,0.05901434,-0.009024178,-1.150104,0.2233657
1905,-0.07975202,0.004510165,0.7534153,0.3295572,1.040151,0.2909356,-0.5322720,0.9047844,0.7473204,1.043921,0.3302155,0.4754914
1906,1.512189,-0.1064846,-0.7094751,-1.341237,0.6387289,0.1067311,0.9296200,-0.9622695,-0.3949755,0.3889620,0.2451311,0.2908120
1907,0.7372886,0.4467746,-0.5111846,-0.6247138,0.1076237,1.178782,-0.1398379,-0.5545569,-0.7930017,0.9106130,0.9553131,0.6898074
1908,-0.2718114,0.6782829,0.7405050,-0.6486014,-0.7069184,0.9323925,0.3822967,0.1528648,0.6691311,-0.6573200,-0.1128618,0.8052688
1909,0.5451674,-0.6093052,1.271954,-0.01371558,0.2518790,-1.088911,-0.5923613,-0.7663857,0.7279130,-0.3352872,0.1494880,-0.3134102
1910,0.7833941,0.3659691,1.151249,0.2213162,0.03216279,-0.8498570,-0.6571447,-0.1293091,0.3688095,-0.0002316218,0.5604730,0.9952790
1911,-0.4671258,-0.1738728,0.7662757,-1.023883,0.2173919,-0.5775235,-1.117705,-0.8396499,-0.5364163,-0.9266597,-0.2500799,0.4329174
1912,-1.133626,-0.1288865,1.638604,-0.4876634,0.05540349,1.159283,-0.7543435,1.368258,-0.4876019,0.1919524,0.004302660,-0.3134102
1913,-0.6048573,0.09193923,-0.007440018,0.7340274,-0.5109812,-0.5044597,1.180477,0.6339794,0.6245050,-0.7764497,0.8310232,0.5279281
1914,0.9884549,-1.023787,0.4161433,-0.2983988,-1.028462,-0.6162856,0.5287244,1.280302,-0.4604109,0.1485304,-0.6969407,-0.2762797
1915,1.278700,1.494298,-0.2964986,-0.8360797,-1.151254,-1.415146,-0.9758049,-0.09689504,-1.046175,0.7250170,0.1012937,-0.6142857
1916,-0.3496435,0.6219755,-0.5111847,-0.5927190,0.3830359,-0.8404692,0.2964830,-0.8949944,-1.215557,-1.277519,0.4695418,-0.7407684
1917,-1.229909,-1.516463,-0.2046941,-0.5927188,-2.020316,-0.5386149,-1.455357,0.4753737,-1.046175,0.5965339,-1.906680,0.1892223
1918,-2.061454,-0.9322304,-0.4345349,-0.8513951,-1.161329,1.182668,0.1621956,-2.172012,-1.151435,0.9181529,-1.238459,0.6401942
1919,0.1257770,1.657458,0.6086798,0.8503568,-0.05509432,1.378008,-0.6756606,-0.3322070,1.400855,0.1659207,-1.203297,0.9156920
1920,-0.8999695,-1.250259,-0.05268664,-1.493167,0.9138857,-1.295999,-1.307882,0.5551823,-1.672863,0.4226814,-0.9505663,-0.9936398
1921,-1.133626,0.3249156,-0.9050707,-0.3976230,0.6766982,-0.7886003,-1.172305,0.3403952,-1.398329,-0.3616704,-1.435912,1.295177
1922,1.798417,0.6968167,-0.7246348,-0.9046063,0.9445586,-0.7363468,-0.01985450,-1.541640,-0.3129155,-1.223345,1.242852,-1.795364
1923,-0.04188004,-1.000942,-0.4038535,-0.2484665,-0.1191100,-0.7743866,-1.194996,2.416083,-1.574161,0.8189173,1.679923,-1.723046
1924,-0.9391250,-1.668728,-0.05268669,-0.2734560,-1.023271,0.5770907,-0.7126922,1.128461,-0.4658527,-0.2559830,-1.486098,-1.867368
1925,-1.971990,0.02648853,1.610960,1.422220,1.109076,0.6451859,1.643769,-1.280140,0.9998585,-1.361367,-0.5816886,-0.5890318
1926,-0.7230799,-1.000942,-2.068034,-0.005305322,0.3886953,-1.124781,-1.379609,1.291424,0.3162558,0.2438081,-0.6490795,-0.8673311
1927,-0.7033809,-0.9322304,0.3452839,1.273333,-0.7727880,-0.2039125,0.4622193,0.1067529,0.5135533,-1.089153,0.1782914,0.4965708
1928,-0.4278858,-0.1064846,-0.06781049,-0.5039272,0.2805398,0.6135310,-0.4492656,1.418496,0.5135531,-1.589296,1.504263,-0.3880611
1929,0.7527427,-0.9780673,-0.2964985,-0.005305523,1.705365,-0.4358776,-0.9298076,0.6772859,0.2898257,1.830166,-0.7350483,-2.235473
1930,-1.457871,1.090922,0.2298445,0.5265128,1.897276,-0.2781227,1.624598,1.182357,0.01008083,-1.729997,0.9796361,-0.1172090
1931,1.098360,0.1566175,0.6883653,0.1711055,0.03797442,-0.6404324,-0.5230364,-1.851694,0.1509317,0.1659207,-0.7445487,-1.056610
1932,1.490019,-1.625449,-0.6029428,-0.9347357,1.118817,1.960390,-0.1488039,-0.5141162,-0.3457673,-0.4230942,-0.01517590,-1.723046
1933,-0.2912249,0.7877161,1.656845,-0.06416333,0.003091506,-0.2583414,-0.7774738,0.3539917,1.467020,-1.487874,0.004302629,-1.343849
1934,0.2704231,-1.861343,0.2006178,0.8118774,-1.141155,0.7520284,1.500194,-0.7490056,0.9268960,-0.1412368,0.2830721,-0.9684124
1935,-1.439051,0.1351473,-0.2505579,1.382238,1.927442,-0.8685920,-1.145030,0.4753737,-0.07178889,2.150850,-0.5139048,-0.9936398
1936,0.4615258,1.400512,0.2589295,1.210596,1.228948,1.244162,1.770479,0.6902099,0.7376285,0.4645719,2.347133,0.4329174
1937,0.8137030,0.7697719,1.467424,1.245582,-0.5392867,1.657568,-0.3254347,0.1205977,1.623755,0.8034185,0.9226041,1.088908
1938,0.1440978,0.7877161,-1.410076,-0.3067021,1.474064,1.983596,1.336843,-0.3046696,0.7279130,1.659438,0.5424203,0.9066798
1939,0.4274925,1.183970,-0.3271562,-1.189448,0.9241356,-0.1148415,1.147171,-0.3596881,-0.02808268,-0.9595438,0.3113973,-0.5008349
1940,1.845231,0.1992797,0.2298445,0.6629910,0.003091173,-0.3719245,0.02840475,-0.6569182,0.8002016,0.1223953,0.9957521,1.489059
1941,0.4615258,0.9607304,0.9891381,1.664980,0.6169112,0.7870429,1.810120,-0.3871082,-0.6923013,-0.5278082,-0.005433721,-0.4380791
1942,-1.152939,1.905112,-0.3118249,-0.3067020,0.7889171,0.6180663,0.2923497,-0.4870458,-0.5688561,1.129947,0.9061304,-1.231990
